round,test_acc
0,0.09370209930023325
1,0.10469843385538154
2,0.13602132622459182
3,0.1590803065644785
4,0.16347884038653782
5,0.17707430856381207
6,0.1838053982005998
7,0.2
8,0.2019993335554815
9,0.20393202265911362
10,0.21072975674775074
11,0.21766077974008663
12,0.22572475841386205
13,0.2320559813395535
14,0.24558480506497835
15,0.2586471176274575
16,0.2668443852049317
17,0.27877374208597133
18,0.2783072309230257
19,0.2821059646784405
20,0.29563478840386537
21,0.2951016327890703
22,0.30709763412195934
23,0.300433188937021
24,0.3066311229590137
25,0.3104965011662779
26,0.32169276907697436
27,0.3136287904031989
28,0.32142619126957683
29,0.3252249250249917
30,0.32375874708430524
31,0.33295568143952015
32,0.32569143618793733
33,0.32502499166944354
34,0.33102299233588806
35,0.33775408197267576
36,0.3405531489503499
37,0.33048983672109294
38,0.3363545484838387
39,0.34141952682439186
40,0.34255248250583137
41,0.3454181939353549
42,0.3477507497500833
43,0.35774741752749084
44,0.35121626124625127
45,0.3558813728757081
46,0.35281572809063644
47,0.3640786404531823
48,0.36007997334221925
49,0.35334888370543155
50,0.36241252915694766
51,0.36481172942352547
52,0.362812395868044
53,0.3728757080973009
54,0.3733422192602466
55,0.37060979673442185
56,0.37074308563812064
57,0.3712762412529157
58,0.36947684105298234
59,0.37440853048983674
60,0.38053982005998
61,0.38473842052649115
62,0.3784738420526491
63,0.3842719093635455
64,0.3906697767410863
65,0.3886037987337554
66,0.38373875374875044
67,0.3912695768077308
68,0.3866044651782739
69,0.3950016661112962
70,0.4004665111629457
71,0.39820059980006667
72,0.3949350216594468
73,0.40373208930356547
74,0.40273242252582475
75,0.4060646451182939
76,0.4061312895701433
77,0.39893368877040986
78,0.40513162279240256
79,0.41072975674775075
80,0.4124625124958347
81,0.4109296901032989
82,0.4173275574808397
83,0.4150616461179607
84,0.414595134955015
85,0.41039653448850383
86,0.4207264245251583
87,0.4287237587470843
88,0.4169276907697434
89,0.4159280239920027
90,0.4206597800733089
91,0.42245918027324225
92,0.4243918693768744
93,0.41919360213262247
94,0.4356547817394202
95,0.42579140286571143
96,0.4372542485838054
97,0.43172275908030655
98,0.4381206264578474
99,0.43212262579140287
100,0.4333222259246918
