round,test_acc
0,0.05569200891072142
1,0.9587593534014965
2,0.983263837322214
3,0.9848631975781116
4,0.9862340777974524
5,0.9870337579254013
6,0.9876620780259325
7,0.9878905580624893
8,0.9901182384189181
9,0.9886902381904381
10,0.9892614382818301
11,0.9888615982178557
12,0.9874907179985148
13,0.9885188781630205
14,0.9895470383275261
15,0.989204318272691
16,0.989775518364083
17,0.9908607985377278
18,0.9901753584280574
19,0.9901182384189181
20,0.9908036785285885
21,0.9905751984920318
22,0.9909750385560062
23,0.990917918546867
24,0.9907465585194494
25,0.9908036785285885
26,0.9905751984920318
27,0.9908607985377278
28,0.9908607985377278
29,0.9905180784828925
30,0.9912606386017022
31,0.9909750385560062
32,0.9913177586108414
33,0.9919460787113726
34,0.9917175986748158
35,0.991203518592563
36,0.9911463985834238
37,0.989775518364083
38,0.9920031987205118
39,0.991489118638259
40,0.992060318729651
41,0.992060318729651
42,0.9907465585194494
43,0.9921745587479294
44,0.9892614382818301
45,0.991774718683955
46,0.992060318729651
47,0.9913177586108414
48,0.9913748786199805
49,0.9922316787570686
50,0.9921745587479294
51,0.9905751984920318
52,0.9924030387844862
53,0.9922316787570686
54,0.9911463985834238
55,0.9914319986291198
56,0.9926315188210431
57,0.991489118638259
58,0.9918318386930942
59,0.9924030387844862
60,0.9922887987662078
61,0.9928028788484606
62,0.9928599988575998
63,0.9920031987205118
64,0.9923459187753471
65,0.9922316787570686
66,0.9928599988575998
67,0.9924601587936254
68,0.9926315188210431
69,0.9923459187753471
70,0.9922887987662078
71,0.9927457588393214
72,0.9925172788027646
73,0.9919460787113726
74,0.9929742388758782
75,0.9926886388301822
76,0.9928599988575998
77,0.9922316787570686
78,0.9918889587022334
79,0.9926886388301822
80,0.9921745587479294
81,0.9930313588850174
82,0.9917175986748158
83,0.9928028788484606
84,0.9874907179985148
85,0.9933169589307135
86,0.9926315188210431
87,0.9933740789398526
88,0.9930313588850174
89,0.991489118638259
90,0.984406237504998
91,0.9922887987662078
92,0.9928028788484606
93,0.9923459187753471
94,0.9930313588850174
95,0.9922887987662078
96,0.9934311989489918
97,0.9930313588850174
98,0.9929171188667391
99,0.9941166390586622
100,0.9928028788484606
