round,test_acc
0,0.05843376934940309
1,0.9025532644085223
2,0.9349403095904495
3,0.93990975038556
4,0.9462500714000114
5,0.9492774318843891
6,0.9468212714914035
7,0.9522476723596276
8,0.9528188724510196
9,0.9535614325698292
10,0.9541897526703604
11,0.9522476723596276
12,0.9564174330267893
13,0.9581310333009653
14,0.9572171131547381
15,0.9599017535842805
16,0.9598446335751414
17,0.9589307134289141
18,0.9596161535385845
19,0.9596732735477238
20,0.9604729536756725
21,0.9609870337579254
22,0.960872793739647
23,0.9604158336665334
24,0.9621294339407094
25,0.9625292740046838
26,0.9630433540869366
27,0.9633860741417719
28,0.9619580739132918
29,0.9616153538584566
30,0.9609870337579254
31,0.9637287941966071
32,0.9647569543611128
33,0.9655566344890615
34,0.9642999942879991
35,0.9662991946078712
36,0.9668132746901239
37,0.9678414348546296
38,0.967955674872908
39,0.9650996744159479
40,0.9672702347632376
41,0.9675558348089336
42,0.9671559947449592
43,0.9667561546809847
44,0.9681270349003256
45,0.9690409550465529
46,0.9658993545438967
47,0.9674415947906552
48,0.9685839949734392
49,0.9669275147084023
50,0.9705831952933113
51,0.9713257554121209
52,0.9706403153024504
53,0.9692694350831096
54,0.9703547152567544
55,0.9708687953390073
56,0.9706974353115897
57,0.9678414348546296
58,0.9695550351288056
59,0.9716113554578168
60,0.9707545553207289
61,0.970811675329868
62,0.9701833552293369
63,0.9724681555949048
64,0.9716684754669561
65,0.9722396755583481
66,0.9718969555035128
67,0.970526075284172
68,0.9710401553664249
69,0.9719540755126521
70,0.9713257554121209
71,0.9716113554578168
72,0.971097275375564
73,0.9726966356314617
74,0.9720683155309305
75,0.9660135945621752
76,0.9714971154395384
77,0.9732678357228537
78,0.973610555777689
79,0.9720683155309305
80,0.9702975952476153
81,0.9714971154395384
82,0.9724110355857657
83,0.9722396755583481
84,0.9707545553207289
85,0.9726395156223225
86,0.974467355914777
87,0.9708687953390073
88,0.9732107157137145
89,0.9713257554121209
90,0.9729822356771577
91,0.9724681555949048
92,0.9706403153024504
93,0.9746387159421945
94,0.9728108756497401
95,0.9746387159421945
96,0.9741246358599417
97,0.9746387159421945
98,0.9719540755126521
99,0.973610555777689
100,0.9749243159878905
