round,test_acc
0,0.004919016196760648
1,0.011237752449510098
2,0.013957208558288343
3,0.021515696860627875
4,0.02979404119176165
5,0.03803239352129574
6,0.04427114577084583
7,0.04919016196760648
8,0.05382923415316936
9,0.06042791441711658
10,0.06486702659468106
11,0.06802639472105579
12,0.07142571485702859
13,0.07370525894821035
14,0.08158368326334733
15,0.0820635872825435
16,0.08602279544091182
17,0.09034193161367726
18,0.09294141171765646
19,0.09506098780243952
20,0.0981003799240152
21,0.09962007598480303
22,0.10365926814637072
23,0.10577884423115377
24,0.10901819636072785
25,0.11081783643271345
26,0.11433713257348531
27,0.11537692461507698
28,0.11825634873025395
29,0.11981603679264147
30,0.12121575684863027
31,0.1239752049590082
32,0.12473505298940211
33,0.12753449310137974
34,0.12873425314937012
35,0.12985402919416117
36,0.13089382123575286
37,0.13277344531093782
38,0.13301339732053588
39,0.1341731653669266
40,0.13573285342931413
41,0.1350129974005199
42,0.13713257348530294
43,0.1388122375524895
44,0.13989202159568087
45,0.1396120775844831
46,0.13993201359728055
47,0.1414517096580684
48,0.1406118776244751
49,0.13997200559888023
50,0.14093181363727256
51,0.1424115176964607
52,0.14169166166766647
53,0.14097180563887224
54,0.14209158168366326
55,0.14253149370125975
56,0.1420115976804639
57,0.14397120575884823
58,0.14237152569486103
59,0.1424515096980604
60,0.1398520295940812
61,0.14033193361327734
62,0.14113177364527094
63,0.14025194961007798
64,0.1408518296340732
65,0.14097180563887224
66,0.14093181363727256
67,0.138372325534893
68,0.13689262147570486
69,0.13709258148370326
70,0.13685262947410518
71,0.13729254149170167
72,0.1364527094581084
73,0.13589282143571285
74,0.13589282143571285
75,0.13609278144371126
76,0.13385322935412916
77,0.13405318936212757
78,0.13329334133173365
79,0.13301339732053588
80,0.1318136372725455
81,0.13129374125174964
82,0.13005398920215958
83,0.129374125174965
84,0.12949410117976404
85,0.12825434913017397
86,0.12773445310937812
87,0.12941411717656467
88,0.12861427714457108
89,0.12753449310137974
90,0.12633473305338933
91,0.12613477304539092
92,0.12633473305338933
93,0.12465506898620277
94,0.12501499700059987
95,0.12605478904219156
96,0.12405518896220756
97,0.12585482903419315
98,0.12441511697660468
99,0.12533493301339732
100,0.12305538892221556
